"","id","lang","purpose"
"2826","s15310","eng","IQ"
"2827","s15317","eng","To see different perspectives"
"2828","s15321","eng","measure peoples estimations"
"2829","s15322","eng","peoples perceptions of assuming or believing something because of prior knowledge on that thing."
"2830","s15323","eng","am not sure maybe you are trying to find out what people perceive "
"2831","s15324","eng","To see which perspective my answers come from. Either from the protagonist in the story or from the narrators perspective."
"2832","s15327","eng","beliefs"
"2833","s15330","eng","To see the way different people think of different situations "
"2834","s15337","eng","The Framing Effect "
"2835","s15338","eng","I think is to check how people differentiate the two things: distinguishing an object with several reasons, and just speculating without knowing the object is real or fake. All using third person view."
"2836","s15339","eng","I think the purpose of this study is to see how different people react and answer to different situations. And, possibly see their logic towards it."
"2837","s15340","eng","something along the lines of seeing if things happen by chance or fait"
"2838","s15343","eng","Do get a gauge of what people consider ""truth"" to be."
"2839","s15346","eng","I think the purpose of this study was to determine if a scenario was purely based on luck or ability."
"2840","s15349","eng","to examine the psychological process that someone goes through in regards to different situations"
"2841","s15352","eng","How people interpret and give out information to others based on their beliefs, what they believe to be true"
"2842","s15356","eng","To understand how people read certain situations"
"2843","s15357","eng","not sure "
"2844","s15358","eng","I have no clue"
"2845","s15359","eng","I believe it was to highlight the fact that our brains can actually trick us into thinking that we see something when in reality it is not there. "
"2846","s15362","eng","Analyzing what we believe to be true versus what we know to be true, and how the two may intertwine."
"2847","s15364","eng","Debunking facks vs luck "
"2848","s15368","eng","NO"
"2849","s15369","eng","If people just get lucky or if they have bad luck."
"2850","s15370","eng","not sure "
"2851","s15372","eng","to determine how different people perceive social skills like understanding a person ability/inability to do something"
"2852","s15379","gre","Πόση σημασία έχουν οι λέξεις όταν παρουσιάζεις κάτι στον άλλον. Δηλαδή τι θα του πεις , με ποιο τρόπο, ποιες προτάσεις θα χρησιμοποιήσεις πρώτα και ποιες μετά και ποιες λέξεις θα τονίσεις. Φαντάζομαι ότι ενώ τα δεδομένα ήταν συγκεκριμένα οι απαντήσεις θα ποικίλλουν γιατί κάθε άτομα τα ερμηνεύει διαφορετικά με βάση τις εμπειρίες του και τη δική του λογική "
"2853","s15380","eng","I think the purpose is to see if recalling details from a story, depends on how the story is phrased."
"2854","s15383","eng","To see how you judge someone??"
"2855","s15391","eng","To understand the difference between luck and ability"
"2856","s15395","eng","I think that the purpose of this study was to see how people classify the credibility of information and whether a person should be faulted for believing ""wrong"" information."
"2857","s15398","eng","To determine if people make decisions off gut feelings or on actual obtained knowledge. "
"2858","s15405","eng","To determine whether people credit the things that happen to them to their ability or their luck."
"2859","s15407","eng","To see how people interpret luck and beliefs vs. actually knowing something"
"2860","s15409","eng","I don't really know, I have 2 different ideas,
1. the idea of the OSSLT and how some students don't read the items in full
2. to see what most people can view from the way something is written"
"2861","s15410","eng","Do determine whether people credit their decisions to their ability or luck."
"2862","s15412","eng","to see how people interpret wording"
"2863","s15417","eng","Decide how many people believe in luck"
"2864","s15420","eng","to see how reading associates with answering questions"
"2865","s15421","eng","How we interpret people's knowledge depending on the situation, or how valid it is. "
"2866","s15425","eng","I have no idea."
"2867","s15435","eng","I think the purpose of the study is to understand to what extent people think knowledge can exist, as opposed to strong belief, and how this is expressed through language."
"2868","s15439","eng","Discrepency between beliefs and luck/ability."
"2869","s15443","eng","To examine how context effects out perception on others beliefs."
"2870","s15444","eng","I do not know, maybe to get a sense of what is real or fake"
"2871","s15450","eng","To see how people think about the different scenarios and how different their point of view about the situations is "
"2872","s15451","eng","to investigate whether wording can confuse us into believing certain fact/unreasonable fact "
"2873","s15453","eng","to understand how language is used to determine skill and luck"
"2874","s15455","eng","Test attention"
"2875","s15457","eng","Debunk the notion between luck and ones abilities"
"2876","s15460","eng","to put us in real life situations"
"2877","s15461","eng","to test people on their perception."
"2878","s15462","eng","Possibly to define whether or not situations that are not easily perceived can be attributed to a persons luck vs ability to know something."
"2879","s15463","eng","to identify if participants actually read the paragraphs"
"2880","s15464","eng","I felt that I had to second guess myself when it came to each question because it seemed like a trick question. Therefore, I feel that it revolves around that. "
"2881","s15466","gre","OXI"
"2882","s15472","eng","comprehension"
"2883","s15473","eng","see our knowledge"
"2884","s15474","eng","To see how people perceive things and whether their assumptions or statements are valid"
"2885","s15484","eng","To recognize our decision making and critical reading abilities"
"2886","s15487","eng","Maybe to gauge people's beliefs/thoughts about what constitutes luck/ability"
"2887","s15490","eng","To determine whether people believe events occur because of luck or because of their rationality and to determine whether we hold human rationality as the driver of society."
"2888","s15492","eng","Possibly about determining perceived competency?"
"2889","s15499","eng","To measure the participants attention to detail"
"2890","s15500","eng","I have no idea but I think it has to do something with making decisions when you are uncertain."
"2891","s15501","eng","To understand a situation and analyze the situation."
"2892","s15504","eng","I don't know."
"2893","s15505","eng","The purpose might have to do with how well we do in understanding/correctly completing this study based off of how many studies we have been apart of in the past."
"2894","s15548","gre","..."
"2895","s15551","rum","cred ca acest lucru se refera la atentia participantilor si capacitatea de intelegere."
"2896","s15553","rum","Posibil de a vedea in cele trei povestioare corelatia dintre a crede ( ceva posibil despre ceva/cineva) si a stii ( a cunoaste ceva sigur despre ceva/cineva)."
"2897","s15554","rum","Testarea atenției și a capacității de concentrare."
"2898","s15556","rum","Consider ca scopul studiului a fost sa determine masura in care folosirea unui anumit limbaj/a anumitor termeni cu privire la certitudine, influenteaza raspunsul participantilor."
"2899","s15558","rum","Atentia "
"2900","s15562","rum","Probabil ca cercetatorii doresc sa cerceteze legatura dintre atentie si procesele cognitive"
"2901","s15563","rum","Studiul limbajului"
"2902","s15571","rum","Evaluarea atenţiei la detalii."
"2903","s15576","rum","Are legatura cu felul cum interpretam situatii si luam decizii, pe baza informatiilor pe care le avem la dispozitie (acestea putand fi incomplete, neactualizate)"
"2904","s15579","rum","Atentie, perceptie, preconceptii - probabil un studiu in aceasta directie"
"2905","s15586","rum","pot fi multiple: nivelul de stres asociat situatiilor conflictuale de raspuns (acolo unde nu sunt suficiente informatii), in ce masura gradul de definire a scopului unui studiu si modalitatea de formulare a intrebarilor creste sau scade stresul asociat completarii acestuia, etc"
"2906","s15588","rum","Evaluarea atenției"
"2907","s15591","rum","nivelul de inteligenta, durata de memorare "
"2908","s15593","rum","Verificarea intelegerii sensului cuvintelor 'a crede' si 'a sti'"
"2909","s15595","rum","evaluarea perceptiei "
"2910","s15596","rum","atentia distributiva si gandirea critica"
"2911","s15597","rum","Scopul studiului este evaluarea gradului de intelegere a unui text si a diferentierii dintre conceptele ""a sti"" si ""a crede"" care se refera la anumite actiuni."
"2912","s15598","rum","Nu mi-e foarte clar, dar aș fi curioasă să aflu."
"2913","s15602","rum","Modul de percepere asupra unor lucruri"
"2914","s15604","rum","diferentele intre a crede ceva si a sti cu siguranta"
"2915","s15606","rum","Scopul este de a verifica si a analiza scenariile date la un nivel psihologic"
"2916","s15608","rum","De a identifica masura in care putem verifica ceea ce ne spun ceilalți, sau dăm valoare absolută de adevăr, fără a face propriile verificări"
"2917","s15609","rum","Testarea atenției"
"2918","s15613","rum","Nu stiu exact. "
"2919","s15615","rum","atentia"
"2920","s15617","rum","Scopul studiului, cred că a fost acesta: în ce măsură modul în care ne sunt comunicate verbal/scris anumite informații  influențează valoarea de adevăr a acestora sau în ce măsură modul în care ne sunt comunicate verbal/scris anumite informații ne influențează să credem că acele informații sunt reale sau nu( reprezintă realitatea sau nu)"
"2921","s15618","rum","Verificarea atentiei "
"2922","s15619","rum","Modul in care aparentele pot insela."
"2923","s15620","rum","cat de bine sunt povestite situatiile pt ca cei care citesc, sa inteleaga si sa retina detaliile/ cuvintelele folosite,distributia lor."
"2924","s15624","rum","este interesant"
"2925","s15625","rum","Poate sa verifice nivelul de atentie si intelegere a unui text"
"2926","s15627","rum","Observarea atentiei de scurta durata si logica interpretarii situatiilor din spatele unui text citit la prima vedere. Intelegerea textului."
"2927","s15632","rum","Cred că scopul a fost ceva legat de modul în care persoanele cred anumite lucruri și datorită căror factori cred asta (competență/incompetență sau noroc/ghinion)"
"2928","s15641","rum","Scopul studiului consider ca a fost testarea atentiei si a propriei perceptii pe anumite situatii care, desi pot parea normale, in esenta, pot exista detalii ce le schimba total."
"2929","s15643","rum","nu am idee"
"2930","s15651","rum","Atentia distributiva si gandirea critica"
"2931","s15653","rum","logica si capacitatea de interpretare a actiunii "
"2932","s15656","rum","nu stiu "
"2933","s15658","rum","SA REFLECTE GRADUL DE PREZENTA, CONSTIENTA  SAU ATENTIE AL RESPONDENTILOR , GRADUL IN CARE SE POT DETASA DE PROBLEMELE EXISTENTIALE ACTUALE"
"2934","s15659","rum","Evaluarea atentiei"
"2935","s15661","rum","Măsurarea atenției "
"2936","s15662","rum","311340802rsl191045"
"2937","s15664","rum","Cred ca scopul testului a fost de a stabili in cele 3 povestioare corelatia dintre a crede ( posibilitatea) si a stii ( certitudine)."
"2938","s15666","rum","testarea atentiei"
"2939","s15667","rum","Masurarea Atentiei"
"2940","s15668","rum","Diferența între ceea ce credem noi și ceea ce este cu adevărat real."
"2941","s15671","rum","Probabil scopul a fost sa sublinieze diferentele intre a crede si a sti"
"2942","s15673","rum","Competență/Incompetență vs. Noroc/Ghinion"
"2943","s15674","rum","Masurarea capacittatii de concentrare intr-o situatie limita"
"2944","s15676","rum","Studiu despre atentie"
"2945","s15678","rum","Nu știu"
"2946","s15679","rum","despre felul cum luam decizii si interpretam situatii pe baza informatiilor pe care le avem la dispozitie - acestea pot fi incomplete sau neactualizate, ne putem simti competenti intr-o situatie dar de fapt sa nu avem toate datele care sa ne ajute sa luam o decizie corecta, sau invers putem lua o decizie corecta pe baza expertizei/competentei/experientei noastre chiar si cand intervin alte informatii noi care totusi nu influenteaza capacitatea noastra de a lua o decizie corecta"
"2947","s15680","rum","Consider ca scopul acestui studiu a fost sa verifice influenta limbajului asupra participantilor."
"2948","s15683","rum","perceptia si realitatea"
"2949","s15687","rum","NU STIU"
"2950","s15697","rum","Masurarea nivelului de stres asociat unei nivelului de perceptie a sarcinii (dificila, plictisitoare, motivanta, etc) "
"2951","s15705","rum","cercetare"
"2952","s15709","rum","cercetare"
"2953","s15717","rum","Cred că scopul studiului este acela de a verifica atenția asupra detaliilor și a noțiunilor decert/incert."
"2954","s15760","pol","Nie mam przypuszczeń"
"2955","s15764","pol","postrzeganie szczęścia/pecha, wiedzy/domysłów"
"2956","s15768","pol","Zbadanie czy ludzie mają dobrą intuicję do zagadnień z dziedziny epistemologii."
"2957","s15778","pol","jak szybko student zostanie znudzony przez to badanie"
"2958","s15780","pol","Badanie ma sprawdzić jak myślimy o języku."
"2959","s15783","pol","Sprawdzić na ile ludzie świadomie kierują się intuicją a na ile posiadaną wiedzą"
"2960","s15784","pol","Myślę, że miało pokazać problem językowy w mówieniu o wiedzy."
"2961","s15790","pol","Skojarzył mi się z tekstem z filozofii języka, więc miałam wcześniej spojler"
"2962","s15802","pol","Zbadanie potocznego posługiwania się pojęciem ""wiedzieć"" w aspekcie paradoksów z tym pojęciem związanych."
"2963","s15806","pol","Sprawdzenie, co ludzie podświadomie uważają za justified true beliefs."
"2964","s15807","pol","Badanie intuicji językowych w sytuacjach, kiedy osoba bazuje przekonania na niepełnej informacji."
"2965","s15813","pol","Badanie ma na celu ocene logicznego myslenia w zaleznosci od posiadancyh informacji. JAkie wnioski potrawimy wyciagnac. "
"2966","s15814","pol","Przypominało to trochę wstęp do zajęć z logiki. Celem było sprawdzenie jak różni ludzie mogą interpretować różne sytuacje."
"2967","s15816","pol","Przypuszczam, żę badanie dotyczy języka i komunikacji"
"2968","s15821","pol","Indywidualna świadomość"
"2969","s15822","pol","intuicja "
"2970","s15824","rum","Nu știu."
"2971","s15836","rum","Cred ca o varianta posibila ar fi sa cerceteze aspecte ce tin de atentie."
"2972","s15837","rum","Scopul studiului a fost de a ne testa capacitatea cognitiva(atentia)."
"2973","s15838","rum","Să testeze atenția și capacitatea de concentrare"
"2974","s15843","rum","Să ne testeze percepția despre anumite situații pe care le catalogam fie norocoase/ghinioniste, fie datorate competenței/incompetenței"
"2975","s15844","rum","Cred că scopul studiului ar putea fi legat de concentrarea atenției."
"2976","s15846","rum","Posibil înțelegerea celor citite. Evitarea citirii mecanice. "
"2977","s15848","rum","Nu știu"
"2978","s15849","rum","scopul studiului a fost acela de a ne mentine atentia pe toata durata completarii chestionarului"
"2979","s15852","rum","Cred că scopul studiului este legat de atenția pe care o acordăm unor simple povestiri, avand in vedere ca există foarte multe persoane care citesc ceva insa nu au idee ce anume au citit sau nu ar putea (din cauza lipsei concentrarii) sa spuna detalii chiar si despre cateva randuri citite anterior."
"2980","s15854","rum","Parerea mea este ca studiului a vizat tendinta noastra de a percepe anumite lucruri."
"2981","s15855","rum","cum judeca oamenii, cum evalueaza oamenii situatiile; daca ne luam dupa aparente"
"2982","s15857","rum","Competența oamenilor de a analiza o situație dată."
"2983","s15860","rum","Cum inluenteaza norocul/ghinionul, competenta/incompetenta intamplarile din viata oamenilor sau cat de repede trag acestia concluzii"
"2984","s15864","rum","Consider ca scopul studiul este cel de a vedea functiile limbajului"
"2985","s15881","rum","De a vedea cum oamenii judecă anumite situații. "
"2986","s15887","rum","Cred că este vorba de limbaj, care este în legătură cu felul în  care întelegem noi anumite situații."
"2987","s15888","rum","Cred ca scopul studiului a fost capacitatea de a deosebi minciuna de adevar si demascarea unei minciuni atunci cand se vrea a fi considerat un adevar."
"2988","s15890","rum","nu sunt sigura"
"2989","s15892","rum","Nu am idee."
"2990","s15893","rum","nu stiu"
"2991","s15895","rum","Nu stiu"
"2992","s15896","rum","Nu am nicio idee despre scopul acestui studiu."
"2993","s15897","rum","Să estimeze rata de analfabeți funcționali."
"2994","s15907","rum","Deși în timpul studiului nu m-am gândit la scop ci la rezolvarea itemilor , cred că studiul a constat în a vedea cât de bine stim să facem diferența între a știi și a crede , dar și între noroc/ghinion și rezonabil/nerezonabil în situațiile prezentate."
"2995","s15913","rum","doar presupun"
"2996","s15914","rum","Atentia la detalii"
"2997","s15917","rum","Diferențele în ceea ce privește limbajul sau diferența dintre verbul ,,a crede” și verbul ,,a ști”."
"2998","s15919","rum","Studiul ar putea viza capacitatea de memorare pe durate scurte."
"2999","s15922","rum","Bănuiesc că este despre modul în care emitem anumite judecăți sau despre cat de raționali suntem."
"3000","s15927","rum","Nu sunt sigur care a fost scopul studiului, tot ce am observat e ca s-a pus accent pe cat de bine am inteles detaliile povestilor si daca am tras sau nu concluzii primite prin amestecarea unor informatii fara a tine cont de detalii."
"3001","s15929","rum","Să măsoare percepția noastră cu privire la gradul de atenție sau conștientizare a siguranței de sine in cadrul diferitelor situații expuse."
"3002","s15931","rum","Intelegerea textului si vigilenta noastra, probabil."
"3003","s15935","rum","Intelegerea unui text"
"3004","s15936","rum","A avut ca scop transpunerea unor faptului că de multe ori noi ne bazăm pe intuiție și nu investigăm. "
"3005","s15942","rum","Nu am"
"3006","s15955","rum","Să afle dacă felul în care sunt formulate poveștile influențează modul în care percepem ideea ce certitudine sau credință"
"3007","s15956","rum","Scopul a fost acela de a verifica capacitatea de atenție."
"3008","s15967","rum","nu stiu"
"3009","s15970","rum","Să ne observe concentrarea atenției, cât și a memoriei"
"3010","s15977","rum","Scopul ar putea fi observarea atenției în parcurgerea unor informații"
"3011","s15979","rum","Cred că scopul studiului a vizat capacitatea de a înțelege logic și corect anumite raționamente. Cred că s-a măsurat gradul de analfabetism funcțional."
"3012","s15985","rum","Antentia sau capacitatea de concentrare"
"3013","s15988","rum","Nu stiu exact scopul studiului dar sutn convinsa ca am putut ajuta intr-o cercetare."
"3014","s15998","rum","Cred că, scopul studiului a fost de a ne menține constantă atenția."
"3015","s16005","rum","Sa testeze atentia si logica participantilor."
"3016","s16008","rum","Masurarea atentiei"
"3017","s16011","rum","nu am reusit sa imi dau seama"
"3018","s16024","rum","sincer, habar nu am. Au fost situatii diferite intre ele iar cea de a doua m-a pus putin in dificultate cand ma gandeam la scopul studiului si la variabila dependenta."
"3019","s16026","rum","Sincer, nu mi-am dat seama care a fost scopul studiului."
"3020","s16034","rum","nu"
"3021","s16035","rum","Deși nu sunt sigur, cred că scopul studiului a fost să investigheze modul în care evaluăm anumite situații luând în considerare capacitatea de gândire critică sau gradul de atenție și informare pe care le avem când suntem familiarizați cu o anumită sarcină sau cu un anumit loc. "
"3022","s16037","rum","Cred ca scopul studiului a fost eficienta transmiterii mesajului. Cercetatorii doresc sa observe daca subiecti au citit si inteles textul. "
"3023","s16041","rum","Studierea modului în care este perceput procesul de luare a deciziilor și capacitatea de înțelegere a textului"
"3024","s16045","rum","Cred ca scopul studiului este cum deciziile noastre pot fi influentate de lipsa cunoasterii tuturor variabilelor. Putem ajunge usor la raspunsul corect sau gresit dintr-un noroc sau ghinion. Perspectiva noastra se poate schimba cu totul, intr-un sens sau celalalt, odata cu acumularea tuturor datelor specifice situatiei."
"3025","s16051","rum","atentia la detalii
usurinta cu care emitem judecati de valoare"
"3026","s16052","rum","Cred că scopul studiului a fost verficarea atenției și concentrării studenților."
"3027","s16053","rum","Nu stiu care a fost scopul."
"3028","s16061","rum","Urmarirea intelegerii situatiilor personajelor date."
"3029","s16062","rum","de atesta atentia participantului "
"3030","s16066","rum","Să observe dacă percepțiile noastre asupra unui studiu sunt influențate de cele trei povești."
"3031","s16067","rum","Sincer, nu mi-am dat seama care este scopul studiului."
"3032","s16070","rum","Nu stiu care a fost scopul acestui studiu"
"3033","s16077","rum","Habar nu am"
"3034","s16086","rum","Cum percep oamenii lucrurile având deja construite niște idei despre felul în care acestea arată."
"3035","s16087","rum","De a măsura capacitatea de înțelegere "
"3036","s16088","rum","Consider ca masoara atentia."
"3037","s16095","rum","Masurarea limbajului nonverbal"
"3038","s16097","rum","Măsoară capacitatea de atenție"
"3039","s16106","rum","Atentia acordata studiului."
"3040","s16108","rum","Nu am nici o idee."
"3041","s16112","rum","Sa observe modul de intelegere si analiza. "
"3042","s16114","rum","Acest studiu cred că a scos în evidență aptitudinile cu privire la atenția noastră asupra detaliilor, dar și a logicii de a înțelege întrebările."
"3043","s16115","rum","Sa observati daca catalogam oamenii ca fiind competenti sau incompetenti."
"3044","s16118","rum","concentrarea atentiei"
"3045","s16119","rum","măsurarea atenţiei"
"3046","s16122","rum","Atentia pe care o dam textelelor pe care le citim, probabil."
"3047","s16125","rum","nu stiu"
"3048","s16131","rum","Intelegerea textului"
"3049","s16132","rum","Scopul a fost studierea limbajului."
"3050","s16137","rum","emiterea cu usurinta a unor judecati de valoare"
"3051","s16138","rum","Nu l-am aflat."
"3052","s16142","rum","Scopul studiului cred ca a fost capacitatea de concentrare , dar si atentia asupra detaliilor oferita de participanti."
"3053","s16143","rum","Dupa cum s-a precizat in consemn, scopul studiului este analiza limbajului."
"3054","s16154","rum","cc"
"3055","s16156","rum","Am încercat să îmi dau seama, dar nu știu."
"3056","s16160","rum","Nu știu."
"3057","s16164","rum","Cred ca studiul analizeaza modul in care ne transpunem noi in pielea pesonajului, felul nostru de a empatiza "
"3058","s16168","rum","Nu știu."
"3059","s16169","rum","nu stiu"
"3060","s16173","rum","Scopul studiului a fost de a răspunde corect la întrebări"
"3061","s16178","rum","Nu știu."
"3062","s16191","rum","cum influenteaza limbajul perceptia mesajului transmis"
"3063","s16194","rum","Nu stiu"
"3064","s16204","rum","Modul în care atenția noastră ne poate îndrepta spre alegerile pe care le facem, în sensul că putem anticipa sau nu, uneori, greșelile."
"3065","s16207","rum","Concentrarea atentiei in general si atentiei la detalii."
"3066","s16208","rum","Nu știu"
"3067","s16214","rum","Scopul studiului a fost să testeze atenția cu care este citit un text"
"3068","s16220","rum","    De a cuantifica masura in care oamenii sunt sau nu categorici in ceea ce vor ei sa afirme."
"3069","s16253","pol","czytanie ze zrozumieniem"
"3070","s16258","rum","Ma gandesc ca e ceva legat de diferentele dintre situatiile in care ne-am transpus"
"3071","s16270","pol","Jaki jest wpływ otoczenia i kontekstu w postrzeganiu i nazywaniu podmiotów percepcji. Jak podchodzą badani do pewności poprawności naszych obserwacji. "
"3072","s16273","rum","Nu știu"
"3073","s16280","rum","Nu stiu"
"3074","s16283","rum","Habar nu am"
"3075","s16285","rum","nu am idee"
"3076","s16293","rum","Sigranta/insecuritate"
"3077","s16294","rum","Scopul a fost de a ne testa atentia ."
"3078","s16297","rum","În baza informațiilor oferite la început și al tipurilor de sarcini propuse, am dedus că studiul vizează modul în care limbajul folosit într-o povestire influențează capacitatea fiecărui individ de a se pune în postura personajelor descrise."
"3079","s16298","rum","Nu stiu"
"3080","s16302","pol","Zdefiniować, co znaczy wierzyć i wiedzieć na podstawie pytania: Na ile procent jesteś przekonany do czegoś."
"3081","s16304","pol","Wskazać błędy w ludzkim rozumowaniu, wyjaśnić ich przyczyny."
"3082","s16337","rum","De a vedea modul in care oamenii percep verbele a crede si a sti"
"3083","s16344","ger","Textverständnis, Interpretation von Texten"
"3084","s16347","ger","Gelesene ,Oder gehörte Dinge richtig einzuordnen und richtig in zusammenhang zu bringen"
"3085","s16354","ger","Sicher bin ich mir nicht, aber es könnte eine Studie über Meinungsfestierung sein, die auf glaube, Hoffnung und/oder falscher Faktenlage, beruhen.

Veränderung der Wahrnehmung bzw. Des empathievermögens durch äußere Umstände und zusätzlichen Informationen."
"3086","s16358","ger","Erfassen von Text, erkennen von wichtigen und unwichtigen Informationen"
"3087","s16367","ger","Definition von Wissen/nur glauben etwas zu Wissen"
"3088","s16383","ger","Herauszufinden, wie gut die Versuchspersonen die ihnen vorgelegten Informationen in logischen Zusammenhang bringen können."
"3089","s16398","ger","Möglicherweise geht es in der Studie darum, zu erforschen was Menschen glauben zu wissen, wenn ihnen entscheidende Informationen fehlen."
"3090","s16410","ger","Die Wahrnehmung von Sprache "
"3091","s16419","ger","Wahrnehmung und Einschätzungen zum Thema Selbstwarnehmung"
"3092","s16429","ger","Welche Bedeutung mit welchen Worten verbunden wird."
"3093","s16431","ger","Vielleicht war der Zweck der Studie, zu analysieren/zu untersuchen, wie genau Leser bzw. Hörer Sprache wahrnehmen und was aus dem Gesagten wahrgenommen wird und wie das Gesagte verstanden/interpretiert wird. "
"3094","s16433","ger","Was weiß man wirklich und was nehmen wir selbst als wissen an, obwohl es eine reine Abstraktion bereits gemachter Erfahrungen ist, wo teilweise auch Wissenslücken vorherrschen. Evtl. auch irgendwas in die Richtung wann ist es egal/wichtig, ob man etwas denkt oder weiß."
"3095","s16442","ger","Der Zweck dieser Studie ist herauszufinden, ab wann man sich sicher ist etwas zu wissen und wann nicht. Außerdem zeigt es einem auf, dass man nie 100% sicher sein kann."
"3096","s16444","ger","Unterschied von Glauben und Wissen zu verdeutlichen"
"3097","s16445","ger","Man möchte untersuchen, ob das Gehirn Informationen falsch verarbeitet oder nicht wahrnimmt, wenn viele weitere Informationen im Text sind."
"3098","s16453","ger","Kein Plan"
"3099","s16456","ger","Unterschiede beim Gebrauch von „ich weiß“ und „ich glaube zu wissen“"
"3100","s16471","ger","Ich vermute, dass die Szenarien für die Studie weniger von Bedeutung sind als die folgenden Fragen. Es könnte ein Test sein, herauszufinden wie das menschliche Hirn in Bezug auf Studien reagiert/ damit umgeht? "
"3101","s16476","ger"," - Herausfinden, wie Menschen Sprache verarbeiten
- Wie genau Menschen auf die feinen Unterschiede in der Sprache eingehen können oder wollen"
"3102","s16481","ger","Falschnachrichten, die aufgrund mangelnden Wissens und Gefühlen verbreitet werden.
Menschen setzen sich nicht ausführlich mit einem Thema ausführlich auseinander, bevor sie ein Urteil fällen. Manchmal schaden sie sich dabei selbst (Diamanten-Szenario)"
"3103","s16487","ger","ich denke es ging um die Fähigkeit von Menschen, Dinge zu betrachten, ihre Umstände und was man individuell als richtig und falsch sieht "
"3104","s16491","ger","Leseverständnis"
"3105","s16500","ger","Die Bedeutung vom Unterschied etwas zu wissen oder nur zu glauben, es zu wissen. "
"3106","s16505","ger","das Irren von Menschen mit/ohne Fachkenntnissen, die Selbstsicherheit hinter Aussagen"
"3107","s16515","ger","sprachverstädnnis, oder aussagen in kombination zur wahrnhemung der welt, ambiguität von aussagen"
"3108","s16518","pol","Stawiałbym, że dotyczy rozumienia słów ""wiem"" i ""wierzę"" w zależności od różnych czynników, jednym z których jest merytoryczne przygotowanie ""wiedzącego"" lub ""wierzącego""."
"3109","s16535","ger","Zweck der Studie ist das Verhalten von Menschen während der Studie zu untersuchen und dabei festzustellen wie ernst die Studie beantwortet wird und wie viel Druck sich Menschen bei der Bearbeitung machen. Außerdem wird vermutlich die Selbstsicherheit bei Menschen überprüft."
"3110","s16540","ger","Manipulation durch Sprache"
"3111","s16558","gre","οχι"
"3112","s16559","ger","in wie weit sich der Mensch durch optische Dinge täuschen oder beeinflussen lässt"
"3113","s16572","ger","Zu untersuchen, wie gewählte Formulierungen in einem Text verschiedene Eindrücke und Gefühle bei Personen auslösen können und diese Personen somit die Kernaussagen verfälschen  (oder anders aufnehmen) können."
"3114","s16583","ger","Sich im Alltag nicht von äußerlichen Dingen beeinflussen zu lassen."
"3115","s16608","rum","iluzii personale "
"3116","s16611","rum","Măsurarea atenţiei."
"3117","s16612","rum","nu am reușit să-mi dau seama"
"3118","s16621","rum","Evaluarea măsurii în care atribuim competenței/incompetenței sau norocului/ghinionului faptul că ceea ce credem este adevărat."
"3119","s16624","rum","Intelegerea unui text la prima vedere si capacitatea de a trage niste concluzii dupa citirea sa, doar din informatiile date de acesta."
"3120","s16626","rum","Cred ca scopul studiului a avut legatura cu gandirea noastra, mai exact cu diferenta dintre a stii cu adevarat ceva si doar a presupune, a crede."
"3121","s16628","rum","verificarea perceptiei/raportarea personala la un cadru de lucru dat"
"3122","s16631","rum","Intelegerea unei comun icari scrise."
"3123","s16650","rum","cred ca scopul studiului vizează analfabetismul funcțional"
"3124","s16652","rum","Despre competență, situații în care persoanele cred că știu realitatea din jur, însă sin faptul că nu cunosc toate detaliile ajung la erori. scop: părerea participanților în legătură cu diferite constatări formulate de persoane ce fac judecăți doar pe baza aparențelor"
"3125","s16663","rum","Cred ca isi propune sa masoare distinctia dintre ""cred că și sun sigur că"""
"3126","s16669","rum","Cum este perceput limbajul prin intermediul poveștilor"
"3127","s16670","rum","Falsele perceptii"
"3128","s16685","rum","Influenta memoriei asupra perceptiei "
"3129","s16691","rum","Probabil studiul urmărea capacitatea de a răspunde corect la anumite întrebări sub presiunea timpului. "
"3130","s16694","rum","atentia la detalii"
"3131","s16705","rum","Nu m-am gandit la asta dar daca ati scris la inceput ca este ceva despre limbaj ma gandesc ca este despre cum interpretam noi informatiile primite"
"3132","s16707","rum","
Tiparul de gândire al oamenilor."
"3133","s16713","rum","Daca perspectiva unei persoane asupra realitatii corespunde de fapt realitatii"
"3134","s16722","rum","Nu am nici o idee."
"3135","s16723","ger","Beurteilung einer Handlung eines Dritten und eigenes Empfinden darüber. Wie schätzen wir diejenige oder denjenigen ein? Glauben wir zu wissen ob jemand Kentnisse hat oder zweifeln wir an deren Glaubwürdigkeit."
"3136","s16729","rum","Ceva legat de perceptie sau memorie"
"3137","s16733","rum","Diferente clare de limbaj, ceea ce stii sau crezi ca stii despre o situatie sau un lucru"
"3138","s16737","rum","Cred ca scopul a fost identificarea modalitatii prin care la prima citire a unui text putem insinua si diferentia ce stim versus ce credem ca stim."
"3139","s16741","ger","DIE WAHRNEHMUNG; ALSO GLAUBEN UND WISSEN ZU UNTERSCHEIDEN"
"3140","s16742","rum","Scopul studiul a fost verificarea aplicarii rationamentelor logice la situații reale."
"3141","s16745","rum","Cat de mult ne lasam influentati de cuvintele pe care le citim/lucrurile pe care le aflam despre o anumita situatie."
"3142","s16751","rum","diferența dintre a ști și a crede 
tipull de atribuire"
"3143","s16752","rum","Sa sublinieze cumva diferenta dintre ceea ce stim si ceea ce ni se pare ca stim"
